tx_index,tx_hash,block_index,source,sent,burned,earned
12,fafd8b92a7f6a97fce54e0f8817acb9d43b57ff0730cbabacce65601c625e3ee,335669,D8kUJbVNMcLSCC9D55HFzDYtHR5XheP5Bm,3427200000000,3427200000000,5139729000
13,1a8f79d55bc9bab03b18431b7af83ddbc27eb51e8912a4c48fcc932f512b5ec1,335669,DMp2BxadTHykw2qP8YMEqEVjopck48eHWh,70799000000000,70799000000000,106176375313
14,6c8cd68758733e2c71d02d71a093430f66e264d28ff3bd92f27a5fe69ce20d91,335669,DHRCikbsfzEurDgkW28GFGM2GE9cUvvhN5,1499800000000,1499800000000,2249231312
15,1d7de4596a0b16072f512800633c52e342777fe7484164356ad520527f3f5d7b,335669,DPattyufKTtEwWgWrxXYfpg6kXrrPnhAro,249834000000000,249834000000000,374672926875
16,5f6ce3736ea5cf9fbfd7267215af65992cdf0c3019b551c46fd29307c5f09861,335669,D9MaTFcHzdw7joK4xWeCH86WZMb88QPZ8T,172458300000000,172458300000000,258633556781
17,55cb9e6ebace15c52c5c6461f8cdf8ade1f1f4b3a03b69330242c2159d0b01f6,335669,DQgN2o5GddkizeeC5w7uZQ1s9LG4bRctEv,3200000000000,3200000000000,4799000000
18,dc178c5cb94ed2743d06cdce7a57050edcdf48b31a17347129a17637ddaae2d7,335669,DTZvXMExLgqDb8frVBA2jbi9cvvWxco8ui,16000000000000,16000000000000,23995000000
19,eeebaed952b07e13e40dd46a4754dfb2bdf9d7e7bdeea77144f5359101eadf26,335670,DC1pxx7iDq6iovVfBqtYX8W7ZBtNWTYh2t,100000000000,100000000000,149967593
20,e6fc915f8c8af0b53f0a3e3974ab7abdd292975cc310737b575e2b98ea7e446b,335672,DPDvxU5twUpYKYMFM1yLkkA3kPJeXVeJyP,500000000000000,500000000000000,749826388889
21,870e8b81be854c1c50c646de318ee42085ffe9fa3af0ce9b8e17947c78c3f8fc,335672,DKivapEz4gmCXNWAvj5b2P1jfEXx1Gqeup,158440200000000,158440200000000,237605286042
22,ffb6af2b39744bb56c61da65df3083d4e5946aaa207afd6a6e990f0c75c6859d,335672,DHu25922tYzYgBqnrrPCDSK7C8mMxMPAiL,24000000000000,24000000000000,35991666667
23,2432da5890682d02fc39567a62acbc3f91109c9c957cbedc8b46bfd08b733372,335672,DQYpxkkZYLSTt94gcJkAgNzC6Rz8iEuZp6,99800000000,99800000000,149665347
24,d5e5754b563d6a31167a35194bd36057e323615552358d99213e70ada219213f,335672,D5PoBXcjnbUaimm7TnYr2zj5DvUmCL9iAD,500000000000000,500000000000000,749826388889
25,02e8130db54f7d7a5c66f814b4b9c66fe8f3fa6e5e5e9132aef5649c4bbd8b9a,335672,DMubzPcX7721Dd1yzbTf6KLeXj4EwMEgZ8,60000000000000,60000000000000,89979166667
26,95e1a540250b9602df0132cc91f135ebe44b16eb0232ac2ae1523142ef3e2076,335672,DHNRSyr5Xf4BAKZAAQ348h8PYP5dp53rnC,11999800000000,11999800000000,17995533403
27,f6fdf7e47704cb7558eeed0ea85e738d885ba932abe9dd858c8e24efcd694173,335672,DB9p8rFhPSSu7euRfbDTyKdJTQBcm2hEix,3999800000000,3999800000000,5998311181
28,1427592e629f6a62c5b55fc0314d409df60a4be2b380d4ccf0d4c323ef8e78d1,335672,DC1pxx7iDq6iovVfBqtYX8W7ZBtNWTYh2t,5800000000000,5800000000000,8697986111
29,fb9405d11c10d16ff38581ccdead7041cad7b754a63f16df9e277f6496cc24a8,335672,DBhcuqrFxoMEnx72tGVPDWudrtN1fvMxFT,400000000000,400000000000,599861111
30,248cf0a2da9d42c0ae7e193a5c2c8bfa32e420c4eecadb11dafdcfbb82c959f1,335672,D6LHMbtR8CgW47NkmUefkQmRnhrKWu6PWR,94800000000,94800000000,142167083
31,bb74812ecce2d1940dbf153eb4c5e720475175b9714256217f10586fbf3ad1ab,335672,DNxSmbRW5zgKcxPwJi5NrAwSS7LVr2U3dp,2027489664,2027489664,003040531
32,a12d0dcb5ec9d7649fc131007dc0c5451bb1f5031fff5a2a947c5229c9a94911,335672,D5PoBXcjnbUaimm7TnYr2zj5DvUmCL9iAD,499999000000000,499999000000000,749824889236
33,865283840dbf96bdbb76a8b47a7f4fb3f1287d027ebc335245b547f474fc791a,335672,DJF15M1j5bo4gHxXo7gf5Dhtzr8CKozA6a,247999800000000,247999800000000,371913588958
34,64c8a173a00983050dac259d50dfaff0493fc69cac5d4daf1243ce2ce085bcb2,335672,DMEs3tFdMbNhdqKTnga1jtGyYhBZ8ohsmU,247998200000000,247998200000000,371911189514
35,1734e1f655b50db669b7540133aa35a247d45204433552f229d6e1953371d6d1,335672,D8kUJbVNMcLSCC9D55HFzDYtHR5XheP5Bm,399800000000,399800000000,599561181
36,5e9fc8b58a0119bba0c8aff16e64de7b5415f0bff79c51a51ca3c977ffcc402f,335672,DCUUzmGqHj6zMHABbAP53LKAcPVGgvgBXb,99800000000,99800000000,149665347
37,2576f48517ebf2dc603d709ee461d1f284a700af598ecf4d071d0822951d1b86,335672,DA5ZSwGfrpwayjdJPgVQVjEbF2Kh3wLAM7,5500000000000,5500000000000,8248090278
38,86464917500184898b759fcf511acee68da4e95442914c3ec76eb714898c2378,335672,D6fT2ecPR1DX7Mkg4cjGjXVk8nkdz7dizM,28999800000000,28999800000000,43489630625
39,e12f3a4674ebc3d5708ab4187ac65a0ab456658932e778a3c8a4677ed32b9b14,335674,DLCehPEmAZ8qR8FP5febWsppVQjAdkgKMX,500000000000000,500000000000000,749814814815
40,19cbfc2c8edbaad6a10bbca2bd789c29838c12b1ae0ffc1a50b41d986717cb2e,335674,DTkNEmX2Yw9MUJL6m7U9PqseuEwKZtvsM4,10000000000000,10000000000000,14996296296
41,dbfe76eb796ad49ca9f04656410aa2c7668604d483be6f08c2e30e8b69770b1c,335674,D6fT2ecPR1DX7Mkg4cjGjXVk8nkdz7dizM,199900000000,199900000000,299775963
42,df73f1d13d3476183ae00d061d266032cdeb16bd25ccadbdaef6fb017447d6c0,335674,DLCehPEmAZ8qR8FP5febWsppVQjAdkgKMX,500000000000000,500000000000000,749814814815
43,09af5789c05ff98fe4de8d9f397226e02c6271cb732b6bab994598f067319f98,335675,DCQrp9k1GosGHtuP8MZX8Ez7Tw2GD7Zvhh,500000000000000,500000000000000,749809027778
44,888321c17558839a366863f193ffc0abf843a11b72ebd54c3ae72cfe2b6c2b07,335675,D7rGrcKKfahf6bqSRsJADQECt4CfxuUP9F,500000000000000,500000000000000,749809027778
45,7e4d6359b949d840b61352825bd279e0f608bf8f89e7360c10f8afb55d565379,335675,DTAiAAkePUyutePma2WAN3aGoeNDpWtYNq,107997000000000,107997000000000,161954251146
46,01f3fd9a6cf04d9f34d3276bc3fca830abd2481f553b8fe7473003198db99608,335675,DDu3eMighJbR8SBJ96yp6GedUCTTKycWML,8500000000000,8500000000000,12746753472
47,3f730879edd680ad720876ee06e678ad0f2dac66723680f53c197e55bd14f993,335675,DQ6Ww2Zi68mRqTQ6RDQNr9Et1XZLRxer2P,499999700000000,499999700000000,749808577892
48,de3122b6087d752321fe8d961e2e3e688b999d447c3a0c3d0cb4e8e79a751a9b,335675,DTx7j6bJDdCeTCyVR27yn3eSRy147522iF,50000000000000,50000000000000,74980902778
49,033fdfafd7947e13399352793a467c55d82f78209c09d93818070d1867576482,335675,DTkNEmX2Yw9MUJL6m7U9PqseuEwKZtvsM4,9999600000000,9999600000000,14995580708
50,df09c34b1f876aa74947843bfa2f5280e705f484b5bba0678fee76185e2eeb81,335675,DHHUCPyc94kpr9YJihH5qybRSbq5i87BkS,2500000000000,2500000000000,3749045139
51,3d94027d452ea77f346fb732283025f1dd0228d58597095f5649070213380914,335675,D8qH1uTCNcvSbwBckZbqh9PSjqncDgaBCn,1390000000000,1390000000000,2084469097
52,776eb9090f0845c35817d9a2453b01b2e8d6aa62aa6f0978cec0e5ee08bef112,335675,DKSZhojT86L6FF9eXKxhJMi3qB6Xk8jFKE,99800000000,99800000000,149661882
53,9d53d3448475a72cd0b29b05242831cde77f8cd036acf37bfeedd3054738cfc6,335675,DQENUfz4Hhc2vGGJPQKL1koZxhmFPaVHXa,86400000000,86400000000,129567000
54,870f4adc7e6617612de74da80cf660a7ddec9472cd7d36804629166ee83deeb7,335675,DHu25922tYzYgBqnrrPCDSK7C8mMxMPAiL,999700000000,999700000000,1499168170
55,c54c168c76b4990e7e885cb0e1281d6cf3c17a1060871aa810a5f10564301f17,335675,DBtDiLotDPXnreEznXDW2b9Jx1fgEGQrr9,199800000000,199800000000,299623688
56,933bccccceb48702870c3e317cf56c3b0c4d455de81056b4f2bc3886f0477cf2,335675,DEvK81hewHb6EFrkR8ShodHiruKm1BvyHi,20100200000000,20100200000000,30142622840
57,f4e878b102f02d6f6005128fd06bb3daeaadc4cf5687e825d90e6df25027e97b,335675,DTx7j6bJDdCeTCyVR27yn3eSRy147522iF,49999700000000,49999700000000,74980452892
58,70cbfac6537fe53e62172d39cb9f1345da64ce3a5da47fbb4c276c6b0f3887c4,335675,DMp2BxadTHykw2qP8YMEqEVjopck48eHWh,138938000000000,138938000000000,208353933403
59,83acdde44706554dd5c1bfd100604345dc35943ef504cde9b2f27eca193c8308,335675,D65nzTPmjBHSd1KtF7GsDFq7zam73znqeM,1706400000000,1706400000000,2558948250
60,2f166d3ec80afd68d8f9beff49134732607979888c9344da6aed0809afe40adb,335675,DFeVQsC9SiEnQvnRZJE8FnyFPnoXerq3dG,10000000000000,10000000000000,14996180556
61,f436df2abc5ad948952bfd39e91e175c6ea092f61cc4959326f08c45e899b72a,335675,D6LHMbtR8CgW47NkmUefkQmRnhrKWu6PWR,803900000000,803900000000,1205542955
62,4d4523d145cf275e7a6d126dc21904c9c052443d28b0c1226d554ea01098e155,335675,DQifjLzn7GB6bAwN51eU8i7jPRkJxNRbnH,28397100000000,28397100000000,42584803885
63,30341532d945cc20099e054360b23452b7476581569dca5668b5dbf88f1ed135,335675,DJFNBMGndTSiEUPhpiQQ293WUx3CxQKUPY,1000300000000,1000300000000,1500067941
64,28a92ac4cba742bc24885966d73d07f02f25c434a33075e05eab91d6e43f0c43,335679,DA5ZSwGfrpwayjdJPgVQVjEbF2Kh3wLAM7,9999900000000,9999900000000,14995567635
65,d44164beaaeda50cf9c99f79db8feb58a9cf595964e20b84c8fd8b0f4049d942,335680,DQ6bZmd6uTy9EFyy3enkGCn1CuxHSxDbYd,500000000000000,500000000000000,749780092593
66,e628891300f4f374bb22dfa61fa776241642a17f4e653cebb5034091d8da1277,335680,DHHUCPyc94kpr9YJihH5qybRSbq5i87BkS,300000100000000,300000100000000,449868205512
67,54c08f31152776a7c2c0e6c0be8c34fc101881506476dffdfe6f1170486fb09e,335680,D9FgDE7fM49nmpwtc9jp9wm9SqCZGrji8J,100000000000,100000000000,149956019
68,ab36b75e370bd30f63966b34767ca84fce98e29ef2bffefcdc60b7975af80f4d,335680,DFeVQsC9SiEnQvnRZJE8FnyFPnoXerq3dG,9999700000000,9999700000000,14995151984
69,119a6114cfae387900e8a0cf97ae8e01657ab56d6f09b19c92af29f9af26477e,335681,DDU3ZXUp2E1uq7Kpvid1hmCnxY1LXCAb8y,249800000000,249800000000,374587243
70,5c39d40cab19f1f5df5dab7a12da1222d5f83215f285ec82e4cdc7a2ecabb621,335681,DTAiAAkePUyutePma2WAN3aGoeNDpWtYNq,700000000,700000000,001049684
71,1c96cc1802847e1b213574c1a4517f10f956a6183e6063b764b71a529b64fc29,335682,DQ6bZmd6uTy9EFyy3enkGCn1CuxHSxDbYd,499000000000000,499000000000000,748268981481
72,ed2ba1d2198443824cfd8dfa6b74694fed20214ee0bb2633c901251943fe450a,335682,DEQ3mb536KNbpJSmETUGGndaEE3wDgJZAU,100000600000000,100000600000000,149954603426
73,80ff8fcf04f9b0c3aeddc616e451a79c9acf3a2fbbe5d3df72b87d91502476d0,335682,DD625JQeVqxZA6bL24L7xBsUiT8yM99fhR,1002500000000,1002500000000,1503285880
74,584cd18c3102e8b9201533bb187100feb3c27446595dc0fceda27824b6e24fe5,335686,D8rpZpnXTjUW4zGYkd6xC2YHBYXMPYa7ex,490000000000000,490000000000000,734750462963
75,0f8a97de6e3c496ecc8cdf9772e332faccf352b12e4fef90179b3fe64f095e33,335687,DQEdkR4DVXko2N1XU2Pkyy471PxcPTvHKG,290000000000000,290000000000000,434848958333
76,73f2e00e146793dc529977686253a1a7d4d34ab9055d4eed2561a4da37ad1583,335688,DHSy924PnGL6185RQAGMq9dp5ve5jwvVoz,500000000000000,500000000000000,749733796296
77,3f50a0a226ae2ad2d749c8ee1aecbaebff8e18f9dc57bf4cfa6a15b9eafc5e2f,335688,DFCoiLBrLDs5MUuRtvGzshZbWexSL3h3pb,440000000000000,440000000000000,659765740741
78,da77aa6a9971701cdba820542e8046bae00c1a4ac7c8d380c37bc27d23fc80d3,335688,DKivapEz4gmCXNWAvj5b2P1jfEXx1Gqeup,38532700000000,38532700000000,57778534905
79,274f40f579b2078f22f327bcf182f0cef1215e10a6e6aa3d346f96a458d2ea14,335688,DDELyMpxqXba1Cxjw974gpgLYajoXrFzyT,9999700000000,9999700000000,14994226086
80,ffbee61dc8c4d8b8a76ca01248a6da32e95c2b156ff5ab36ac3531236c8997ac,335688,DFxHvuzL9Azo3RPA8uecZ5krEA5982VupN,1999800000000,1999800000000,2998635292
81,18b2e6417516a3dbbd7b7402504d462db599610a2e3364aaaeeee542e0a60a90,335688,DQgN2o5GddkizeeC5w7uZQ1s9LG4bRctEv,99800000000,99800000000,149646866
82,1398010d75c212bb746f73c09a3863eba931fe6ffd666333bb85c54645d00f0b,335688,D8qH1uTCNcvSbwBckZbqh9PSjqncDgaBCn,9700000000,9700000000,014544836
83,f1aa1079fd9d0c5f61916bc2b1d2d679e051a208ff8eef0caa3c74e387bda9a8,335689,D9FgDE7fM49nmpwtc9jp9wm9SqCZGrji8J,99899000000000,99899000000000,149794156794
84,374e308951675cfae775689016caec0d09ef1554bf452526929de22c15089601,335689,DD298RuWxzYKLDTmeJFazHuRfmeSUyevag,4723500000000,4723500000000,7082680503
85,bae6ef5f6d042f6a67b6f986624e99cc5aed167420145f75e120cd8990a2fb35,335689,D9HqGx6yY4nVYGDir7mecPX5U2TAasFZgb,4999800000000,4999800000000,7496980201
86,f780b3433aa50fcbb59f13489c8f99919433ae5254f2814c6392d68893090fbf,335689,DCX7BmAtWzU7V6nbqkWTMDERGqojPavRtd,3900000000000,3900000000000,5847878472
87,330ebbe14e3cbca0be9476b3fbaf24a621d0214b5a30e0e4ef923649573e5168,335689,DD625JQeVqxZA6bL24L7xBsUiT8yM99fhR,5007200000000,5007200000000,7508076176
88,e1b2635070ba94942f2c2cb689f9513d8192a0c244b7d30921448e27ca416fd5,335690,DEoSbzY7SerMBdzxuDdRoETRJSvdrysfif,99999800000000,99999800000000,149944144556
89,a0f3770dd190dc4122f48abdcf1d3c722997cfb3198352f5b3ebac09a42a6b17,335690,DHT5xjVbe1UH37RekSsxsvhnThGgzC1y9W,180000000000000,180000000000000,269900000000
90,9759b6d5c20d3299820a42fcc14ebfa2524b3d54410e8447720350d05e63e4a5,335690,DFf3e8Xa33f4W4Yi7jUWDYcDL1SN7sDLmE,450000000000000,450000000000000,674750000000
91,cce768d028f0ba325db0e0cb0243e677f3b635d33e686b2a1919a0ff9a6b6ce2,335690,DCRdiXRFtPPhixxq3NwEigKKDr7QfrP8sh,499999800000000,499999800000000,749721922333
92,0bbcbf7863bb1c1c9d496bf41b109807a037ab3b514ec546341d302b79c4c471,335690,D9DB4eULEkatiz2ALuSigPjZ6wXNQmX9Pe,475000000000000,475000000000000,712236111111
93,f4e94e6361a4daf1dd4e127a5be0d9989afa7c81585831486f3e71dc489b62dc,335690,DNj7JtD99wC2Ms8qnZXnKfi89JWb4VJhdj,499999800000000,499999800000000,749721922333
94,d6deb4a90bb3fddb0a794b95e1608e163196d69604b024c000ca3bba30f63ef2,335690,DHSnc4ZHKcLmhZG1AP1cYwTmnDMpdP4GyZ,8999800000000,8999800000000,13494700111
95,18e23abf6d93985aa5c0c6e7a97453da455045dafa8154c48a169fdcffc1c350,335690,DKSZhojT86L6FF9eXKxhJMi3qB6Xk8jFKE,49999900000000,49999900000000,74972072278
96,1c3ee23f49f71ed9d4bb7b9bd7fb6645bc554eb44bea414ab830df94a892f0b1,335690,DFeVQsC9SiEnQvnRZJE8FnyFPnoXerq3dG,81000300000000,81000300000000,121455449833
97,43f6416774287782aea23693504378232bce792f2cfd713c6485f5f710b27bca,335690,D8rpZpnXTjUW4zGYkd6xC2YHBYXMPYa7ex,9900000000000,9900000000000,14844500000
98,8e8bf123b4bdcf5364b1f0ff32ceb793dc98de9ef1c2bd59dfe680c8ecab9eb6,335690,DFCoiLBrLDs5MUuRtvGzshZbWexSL3h3pb,9900000000000,9900000000000,14844500000
99,819c0d5fb36ed88b803c01bba599726d590bd760db6bc2a7c08cc212077016da,335690,DNxSmbRW5zgKcxPwJi5NrAwSS7LVr2U3dp,10949800000000,10949800000000,16418616778
100,d8a24e5ef9252231cddaaa5d7b453b9bcfd55b810eb9db76557f31749050b20e,335690,DHDqjtR5pEu4ycZtj8EiTaTFDasC4CkDSP,100000000000,100000000000,149944444
101,dd4447474d62b945d014daf6f96ed8009f1200fb2241fec0016f289d722dc912,335690,D79UZRXuq3bpppvrW8kjCEW1XqS8xpzJbf,4000000000000,4000000000000,5997777778
102,1eacb75334ea969870e2f3bfe5e87f18dd05bdf7667f0720a38cbad002ff75ae,335690,D59kJ7Ztow8YQsucb9sQturFBsnmWHYAuB,99800000000,99800000000,149644556
103,5a6bfc10c30496ca22868db1c3563ef4d9d15992f94643372969d4db74561928,335690,DJGnGLR6zss8KCHn7grTfdquDMURXq4DNV,104800000000,104800000000,157141778
104,7a4a80827d0440eac4d83cb8eec446cf161f72f07717223c3a6c9bb97ff5092f,335691,D5rkjWwFWQ4X4k7CxSzcXupwAAk4A1NSHq,499999800000000,499999800000000,749716135299
105,740017c49aca3af0cf6065ab01bc3743a3b331a9e19f0340ccfec082eff1021b,335691,DFhWW2bvA1QSLUopBx6eqQavrWv7dZ1eRD,9200000000000,9200000000000,13794782407
106,442803dd0e2bd0729229a6e0b7e36d96383d948b3920320c657e0f229738b38b,335692,D9ipAPDPJQPC6mFm5vAt8PyZUej8rPpgRk,10000000000000,10000000000000,14994212963
107,e42d97b9563806a9caa8be718db3f5470fc9d0bafb27f6e29c8302419394bebc,335692,DC3u3k6eCmwrHSNzLFjjmfwkfGZJSjqztQ,1000000000000,1000000000000,1499421296
108,fea675b96d09ce9d88cd018c9a5dc5f66bdc44a8052ed0b265f01716bcd82fab,335692,DP9cZ4bK7pShYFh2RGSopiduAcoKB9NhHb,1999800000000,1999800000000,2998542708
109,2d776aa4495077d6ee9cedf4d12c93d6c51fd8985b8f3e04728123f4c3a08ede,335693,DHT5xjVbe1UH37RekSsxsvhnThGgzC1y9W,19989000000000,19989000000000,29971700938
110,cf9837738800dd3b1549aa39192c234e12f2b03c4d10f35490843c0f5b59dc7c,335693,DRRGHjZ4Rr9BYRByJTAFxK6Ph7Z2BfLZXa,100000000000,100000000000,149940972
111,6bef08cd0c3e94e119d36a81bd18ccd77895a323ac3208fdfa2fa4d050d9f6d8,335693,D87hWXTRAHgjGfi9u3F8a7FLND5FABUwWS,10000000000,10000000000,014994097
112,d1e6dc36848bcd5063a29209100abc7edcb22e6148fd6bda49a179125e138b23,335693,DHDqjtR5pEu4ycZtj8EiTaTFDasC4CkDSP,899700000000,899700000000,1349018927
113,197a350015a65c040e6343242b8d9a63fac9e2fe1b8f3d04ecd42c73f4086679,335693,DN3NFB6ZeGZEEFAKfdDEAheXWuUtV3wdCm,60000000000000,60000000000000,89964583333
114,73679bb836478c37e2d4d5ed9b0da9c0f1f69d74685d521be06548279e7dd969,335693,D8RbxoQdakdhnMATMMPjEfqccpUr2MSbVd,346547638167,346547638167,519616898
115,dcab154e3192bcb14509dccfbd76f071b92641ca1f9cc5cd591c399a92afde41,335693,DC3u3k6eCmwrHSNzLFjjmfwkfGZJSjqztQ,400000000000,400000000000,599763889
116,775f1d6c16a28a44344d9467eeaa5dc735d8bdd2c811693049140875e60eafca,335693,DDXnRn7mwNSTBqToh8m8nAGEMMov6cUsiG,90000000000,90000000000,134946875
117,e3f7ca2152a79a6988f18bb7f4d012e765752f6dc837e00ca9b5746ca6e18bd5,335693,DCX7BmAtWzU7V6nbqkWTMDERGqojPavRtd,99700000000,99700000000,149491149
118,1b476fb1cf8f8f10172559a1b46d19a8bb1b2e608bee4955f310df8a4751f077,335693,DLXrF7iR22cY1h8Yqy8NnjqQyBzgH86mGb,9000000000,9000000000,013494688
119,ca7fe3051da03295431b4a61a56ed4abbf4c4b6b36aa0485879ef321869de0cc,335693,DFVDGc2kURPTnbXvmpizZhkWaxxVGGy1x1,1410000000000,1410000000000,2114167708
120,1ac8344a9a4caec13aa8ff6228c0dd9316b37f90455a8e98ed644a7751d3ba33,335693,DPocrpmpJSn4dNCLHbWqoqgxKY42LMN1ix,25000000000000,25000000000000,37485243056
121,bb40d963c2500ee5b69896e2a9ef6b7336603726fce484315c2907bab884c76b,335693,DPocrpmpJSn4dNCLHbWqoqgxKY42LMN1ix,1500000000000,1500000000000,2249114583
122,fffad2e6cfc29e30d1eee87b2115aed1abeee518410a12b5b73d89424aa49ee9,335693,DKSZhojT86L6FF9eXKxhJMi3qB6Xk8jFKE,49999900000000,49999900000000,74970336170
123,8c4de8fc3973c5df5ceea95f05459be8c855fd77f73d3742626daa344686cb41,335693,DQh6LiHdkeWh8ZDRj7EjhvXoxbpvXDgm8R,24915400000000,24915400000000,37358392993
124,5356c129cb9a4ee28e682daf58237f534dc006aa62c02a1777bb9465a00a5a7c,335693,D9FgDE7fM49nmpwtc9jp9wm9SqCZGrji8J,400000600000000,400000600000000,599764788535
125,53c0cf142a11d8598cda098125f594449a02fe6a156e8566feda04a4c27a0bb0,335693,DDELyMpxqXba1Cxjw974gpgLYajoXrFzyT,120000100000000,120000100000000,179929316608
126,b708ee847775f7792d7c73de0d4a491fb156b6900ecdc2926d6b5f2b87b0706e,335697,DDMFVnmtg9pUWWTc6TQejVgyB5EwDMfTQY,199800000000,199800000000,299572812
127,99d80c7eda281079c1bf06393e6821e053edd36bdff8d037debdff8f6931848d,335697,DPocrpmpJSn4dNCLHbWqoqgxKY42LMN1ix,199600000000,199600000000,299272940
128,c2e9c8fb1137fe5952ffb0a9a0e61447e0c7449fbfa46409e111a8ad11970188,335699,DGcHTrj2gMK2ooGBcT18LV1kNeMkTYzvUc,270000000000000,270000000000000,404821875000
129,7e5d714af07e3b8f5343169ec6d3c5d659a4edc6bbeccae155e29d1481750123,335699,DQxTJSbEb2L4B97T9mcmNHbWpX2WKXGNua,50000000000000,50000000000000,74967013889
130,3cf072659f3e670a4dde2d083ef74735609993d3aaa039adc3d7050a74c162d1,335699,DDXnRn7mwNSTBqToh8m8nAGEMMov6cUsiG,105899700000000,105899700000000,158779685615
131,63e2eb750b5d0c314c6d7b9ec92e3f7a8d7689da8502e286648e8f20a001b688,335699,D69dcDRmqdVku9iB9EgueUj5z6YUU93W43,150000000000,150000000000,224901042
132,cc8ba780f99690da55fcfc4fce4654d51a30b62f3d8a4653e92541f656551e65,335700,DKSZhojT86L6FF9eXKxhJMi3qB6Xk8jFKE,54299900000000,54299900000000,81413398678
133,c4e7e37846b796c09ef05549e6ee07c4f96d184327fda48cb8ed41f22d4e16b0,335700,D8RbxoQdakdhnMATMMPjEfqccpUr2MSbVd,3143348725409,3143348725409,4712912970
134,6a75ec327a08cea8674ccef424f1e71f863a16b5bbf37643459dc770ae58f053,335701,DBtDiLotDPXnreEznXDW2b9Jx1fgEGQrr9,102900000000,102900000000,154279733
135,0eace99c90e9b894017ea4167e7ee6ce2b4b7c05246775a70665f3c35c52a80d,335702,DNMEScWjMf6ZSB1VzyG71yx9HHAkNwYGgt,500000000000000,500000000000000,749652777778
136,67796518ffacd0abed6d5172888e50a2927cfca019c697c3623ab132bd35ac4e,335702,DTwF2nownY8pNEPqsyXm6vEfYyjczVJ32z,100000000000000,100000000000000,149930555556
137,a6435b5539e9183fee9453b5fad93ea94a9a3b988391542cc9e285673d21c957,335702,D8kGoCdFs97vnLT3k64KZkux8tnuoqFrbv,500000000000000,500000000000000,749652777778
138,43def0ab7f5b3bdc42e373f421a684bcaea7d341521be68c286426be231f2e15,335702,D8oXc7cfoACUtfoQo18PG7Tomybh94KtEN,500000000000000,500000000000000,749652777778
139,a1a26d41cb0e701c76e921a573648cdcf78723e8561aeba75064b78fd20594d4,335702,DRRGHjZ4Rr9BYRByJTAFxK6Ph7Z2BfLZXa,164792000000000,164792000000000,247073561111
140,e98c28f8e83563655bc4e3d88981389242c89e14d65e2d0e60980aa21eb2aa1a,335702,D87hWXTRAHgjGfi9u3F8a7FLND5FABUwWS,100189600000000,100189600000000,150214823889
141,c2631c2c118b55de29f13a68c0a9e49f6b00b3ff97cb2d4b6aa990714f5bd704,335702,DP9cZ4bK7pShYFh2RGSopiduAcoKB9NhHb,20009000000000,20009000000000,29999604861
142,985d4fc9a659f2a9fb0f4a4a3f0652200cc361cb1f2ae1078edcb052ce30225e,335702,DMYDvkD2QumZr9ViQcSwZipoBkbcdv7Btz,9999800000000,9999800000000,14992755694
